"Year"	"Sample Date"	"Plot"	"Heat Treatment"	"Species"	"Mass (g/m2)"
2007	8/23/2007 0:00	138	High	Sorghastrum nutans	0.9
2007	8/23/2007 0:00	138	High	Sporobolus cryptandrus	0.63
2007	8/28/2007 0:00	138	Low	Achillea millefolium(lanulosa)	0.1
2007	8/28/2007 0:00	138	Low	Agropyron repens	2.83
2007	8/28/2007 0:00	138	Low	Agrostis scabra	0.23
2007	8/28/2007 0:00	138	Low	Bouteloua curtipendula	0.27
2007	8/28/2007 0:00	138	Low	Cyperus sp.	0.9
2007	8/28/2007 0:00	138	Low	Koeleria cristata	6.13
2007	8/28/2007 0:00	138	Low	Liatris aspera	304.17
2007	8/28/2007 0:00	138	Low	Schizachyrium scoparium	5.47
2007	8/28/2007 0:00	138	Low	Sorghastrum nutans	6.5
2007	8/21/2007 0:00	167	Control	Unsorted biomass	281.52
2007	8/23/2007 0:00	167	High	Agropyron repens	0.73
2007	8/22/2007 0:00	167	High	Aristida basiramea	0.02
2007	8/23/2007 0:00	167	High	Crepis tectorum	0.3
2007	8/22/2007 0:00	167	High	Cyperus sp.	0.08
2007	8/22/2007 0:00	167	High	Hedeoma hispida	0.02
2007	8/23/2007 0:00	167	High	Liatris aspera	139.23
2007	8/23/2007 0:00	167	High	Miscellaneous litter	3.9
2007	8/22/2007 0:00	167	High	Poa pratensis	0.03
2007	8/22/2007 0:00	167	High	Polygonum tenue	0.09
2007	8/22/2007 0:00	167	High	Rumex acetosella	0.31
2007	8/23/2007 0:00	167	High	Trifolium repens	0.77
2007	8/21/2007 0:00	167	Low	Crepis tectorum	0.37
2007	8/21/2007 0:00	167	Low	Cyperus sp.	0.53
2007	8/20/2007 0:00	167	Low	Hedeoma hispida	0.03
2007	8/21/2007 0:00	167	Low	Liatris aspera	136.97
2007	8/21/2007 0:00	167	Low	Miscellaneous litter	24.73
2007	8/21/2007 0:00	167	Low	Petalostemum purpureum	1
2007	8/21/2007 0:00	167	Low	Polygonum tenue	1
2007	8/21/2007 0:00	167	Low	Rumex acetosella	0.67
2007	8/21/2007 0:00	167	Low	Schizachyrium scoparium	1
2007	8/20/2007 0:00	167	Low	Silene antirrhina	0.02
2007	8/21/2007 0:00	176	Control	Unsorted biomass	136.18
2007	8/23/2007 0:00	176	High	Agrostis scabra	3.53
2007	8/23/2007 0:00	176	High	Andropogon gerardi	0.9
2007	8/23/2007 0:00	176	High	Cyperus sp.	0.9
2007	8/23/2007 0:00	176	High	Eragrostis spectabilis	0.83
2007	8/23/2007 0:00	176	High	Liatris aspera	178.63
2007	8/23/2007 0:00	176	High	Miscellaneous litter	22.5
2007	8/22/2007 0:00	176	High	Monarda fistulosa	0.09
2007	8/23/2007 0:00	176	High	Panicum virgatum	64.77
2007	8/23/2007 0:00	176	High	Poa pratensis	2.33
2007	8/23/2007 0:00	176	High	Sorghastrum nutans	4.23
2007	8/23/2007 0:00	176	High	Sporobolus cryptandrus	3.6
2007	8/24/2007 0:00	176	Low	Agrostis scabra	0.83
2007	8/23/2007 0:00	176	Low	Cyperus sp.	0.05
2007	8/24/2007 0:00	176	Low	Koeleria cristata	4.2
2007	8/24/2007 0:00	176	Low	Liatris aspera	100.3
2007	8/24/2007 0:00	176	Low	Miscellaneous litter	12.53
2007	8/24/2007 0:00	176	Low	Panicum virgatum	45.47
2007	8/23/2007 0:00	176	Low	Poa pratensis	0.15
2007	8/24/2007 0:00	176	Low	Schizachyrium scoparium	2.2
2007	8/24/2007 0:00	176	Low	Sorghastrum nutans	54.83
2007	8/24/2007 0:00	176	Low	Taraxicum officinalis	0.23
2007	8/21/2007 0:00	201	Control	Unsorted biomass	174.65
2007	8/21/2007 0:00	201	High	Agropyron repens	0.23
2007	8/20/2007 0:00	201	High	Bouteloua gracilis	0.07
2007	8/21/2007 0:00	201	High	Eragrostis spectabilis	0.57
2007	8/21/2007 0:00	201	High	Lespedeza capitata	17.6
2007	8/21/2007 0:00	201	High	Petalostemum purpureum	81.97
2007	8/21/2007 0:00	201	High	Poa pratensis	6.1
2007	8/21/2007 0:00	201	High	Schizachyrium scoparium	10.9
2007	8/21/2007 0:00	201	High	Sorghastrum nutans	67.83
2007	8/21/2007 0:00	201	High	Sporobolus cryptandrus	0.9
2007	8/27/2007 0:00	201	Low	Agropyron repens	0.6
2007	8/27/2007 0:00	201	Low	Lespedeza capitata	42.4
2007	8/27/2007 0:00	201	Low	Panicum oligosanthes	17.53
2007	8/27/2007 0:00	201	Low	Petalostemum purpureum	54.73
2007	8/27/2007 0:00	201	Low	Poa pratensis	14.87
2007	8/27/2007 0:00	201	Low	Schizachyrium scoparium	5.73
2007	8/27/2007 0:00	201	Low	Sorghastrum nutans	51.73
2007	8/27/2007 0:00	201	Low	Sporobolus cryptandrus	2.6
2007	8/27/2007 0:00	201	Low	Taraxicum officinalis	0.17
2007	8/21/2007 0:00	202	Control	Unsorted biomass	371.72
2007	8/20/2007 0:00	202	High	Achillea millefolium(lanulosa)	2.73
2007	8/20/2007 0:00	202	High	Andropogon gerardi	170.23
2007	8/20/2007 0:00	202	High	Bouteloua gracilis	0.07
2007	8/20/2007 0:00	202	High	Lepidium densiflorum	0.04
2007	8/20/2007 0:00	202	High	Liatris aspera	2.13
2007	8/20/2007 0:00	202	High	Lupinus perennis	105.7
2007	8/20/2007 0:00	202	High	Monarda fistulosa	28.43
2007	8/20/2007 0:00	202	High	Poa pratensis	8.63
2007	8/20/2007 0:00	202	High	Schizachyrium scoparium	8.73
2007	8/20/2007 0:00	202	High	Solidago rigida	6.57
2007	8/20/2007 0:00	202	High	Sorghastrum nutans	23.37
2007	8/30/2007 0:00	202	Low	Achillea millefolium(lanulosa)	1.37
2007	8/30/2007 0:00	202	Low	Amorpha canescens	3.93
2007	8/30/2007 0:00	202	Low	Andropogon gerardi	61.07
2007	8/30/2007 0:00	202	Low	Asclepias tuberosa	0.7
2007	8/30/2007 0:00	202	Low	Linaria vulgaris	0.23
2007	8/30/2007 0:00	202	Low	Lupinus perennis	35.8
2007	8/30/2007 0:00	202	Low	Miscellaneous litter	0.05
2007	8/30/2007 0:00	202	Low	Monarda fistulosa	53.3
2007	8/30/2007 0:00	202	Low	Petalostemum candidum	0.2
2007	8/30/2007 0:00	202	Low	Poa pratensis	12.23
2007	8/30/2007 0:00	202	Low	Schizachyrium scoparium	11.4
2007	8/30/2007 0:00	202	Low	Solidago rigida	16.9
2007	8/30/2007 0:00	202	Low	Sorghastrum nutans	9.5
2007	8/22/2007 0:00	220	Control	Unsorted biomass	212.73
2007	8/28/2007 0:00	220	High	Achillea millefolium(lanulosa)	0.13
2007	8/28/2007 0:00	220	High	Agropyron repens	0.37
2007	8/28/2007 0:00	220	High	Agrostis scabra	0.77
2007	8/28/2007 0:00	220	High	Andropogon gerardi	139.23
2007	8/28/2007 0:00	220	High	Bouteloua gracilis	0.13
2007	8/28/2007 0:00	220	High	Koeleria cristata	0.09
2007	8/28/2007 0:00	220	High	Lespedeza capitata	32.9
2007	8/28/2007 0:00	220	High	Lupinus perennis	72.37
2007	8/28/2007 0:00	220	High	Miscellaneous litter	1.53
2007	8/28/2007 0:00	220	High	Panicum virgatum	1.63
2007	8/28/2007 0:00	220	High	Petalostemum candidum	0.97
2007	8/28/2007 0:00	220	High	Poa pratensis	5.13
2007	8/28/2007 0:00	220	High	Schizachyrium scoparium	49.8
2007	8/28/2007 0:00	220	High	Sorghastrum nutans	14.6
2007	8/20/2007 0:00	220	Low	Achillea millefolium(lanulosa)	0.07
2007	8/20/2007 0:00	220	Low	Agropyron repens	0.03
2007	8/21/2007 0:00	220	Low	Amorpha canescens	30.77
2007	8/21/2007 0:00	220	Low	Andropogon gerardi	21.6
2007	8/21/2007 0:00	220	Low	Bouteloua gracilis	1.17
2007	8/21/2007 0:00	220	Low	Koeleria cristata	2.77
2007	8/21/2007 0:00	220	Low	Lespedeza capitata	24.8
2007	8/21/2007 0:00	220	Low	Lupinus perennis	99.5
2007	8/21/2007 0:00	220	Low	Panicum virgatum	3.33
2007	8/21/2007 0:00	220	Low	Poa pratensis	13.7
2007	8/21/2007 0:00	220	Low	Schizachyrium scoparium	47.4
2007	8/21/2007 0:00	220	Low	Solidago rigida	0.6
